time,MCrun,prate,air
738,17,-5.682987003709192e-07,-0.34517264832337013
738,18,2.759809261055388e-07,-0.2523261057852152
738,19,-8.880154203360737e-07,-0.3864249304051609
739,0,9.50226919080621e-07,-0.16524561467112467
739,1,-1.8670621428415604e-08,-0.27933676384265466
739,2,-4.148397126399889e-07,-0.17639359729825727
739,3,4.346387719064909e-07,-0.14834740600369278
739,4,6.139774436694202e-07,-0.2915372431359585
739,5,1.4324635213671434e-06,-0.325043715128834
739,6,1.0438964978854935e-06,-0.4386940872438167
739,7,7.538711505150748e-07,-0.30255322017472774
739,8,1.7093084016629106e-06,-0.20151112537909174
739,9,3.607060135881636e-07,-0.2623123339723459
739,10,2.729176730319127e-07,-0.08163736022090912
739,11,7.841068921981791e-07,-0.07352296158573436
739,12,1.4026233445540314e-06,-0.16837912353381673
739,13,1.1552410550522184e-06,-0.2515852528138498
739,14,-3.5388912127687044e-07,0.004241928117992885
739,15,2.173385029932236e-07,-0.36902768575778566
739,16,2.568638954757545e-08,-0.13320597410532925
739,17,-5.574719424873757e-07,-0.2896134660522318
739,18,-2.912718891051779e-08,-0.0946213010014778
739,19,-2.6785639057319206e-07,-0.22272652705698484
740,0,4.858509203104762e-07,-0.521493301177026
740,1,5.372086697844298e-08,-0.25798746446222526
740,2,-1.755236089921187e-06,-0.3085509136905369
740,3,-5.679613825175025e-07,0.057597267657372817
740,4,-5.089267419206811e-07,-0.06770267172510087
740,5,6.855032640534135e-07,-0.22705469404910744
740,6,6.590152547077111e-07,-0.5430247835466725
740,7,-1.1425810548042963e-06,-0.04160065726832965
740,8,-9.577633081314155e-07,0.005878311512922665
740,9,-3.81872922270075e-07,-0.4918643586708955
740,10,1.7208935419307998e-07,-0.12996740569093035
740,11,-1.3046951043038887e-06,-0.17245593387269292
740,12,2.9049732456674217e-07,-0.19573302167254142
740,13,-9.144028680757562e-07,-0.09630317840664096
740,14,-8.128298102857868e-07,-0.0003434079967853691
740,15,-8.912838352174938e-07,-0.5194205956634661
740,16,-1.0422377107879843e-06,-0.12306699755175732
740,17,-1.2933092637915021e-06,-0.24578028093431803
740,18,4.8154844246424423e-08,-0.30613218181074253
740,19,-1.5885740640510495e-06,-0.26853809302701837
741,0,1.3532138180060514e-06,-0.4523634112106575
741,1,7.437793591877702e-07,-0.21791508171514762
741,2,1.3715086353681966e-07,-0.08827277410889471
741,3,2.919289531466765e-07,-0.09016668537211037
741,4,1.8750692068868134e-06,-0.15082234738647057
741,5,1.5444199322822228e-06,-0.21193807484922567
741,6,1.6601032195196792e-06,-0.4669983362166242
741,7,-1.1874830801845725e-07,0.015365523003682349
741,8,9.879866833812404e-07,-0.08883653183326554
741,9,-2.0595003508943118e-07,-0.3507602832568892
741,10,-1.8607481859973716e-07,-0.1368590572518148
741,11,4.4311724814296956e-07,-0.06532002477681018
741,12,1.5724214096357292e-06,-0.08135000883280716
741,13,5.851545712064604e-07,-0.17797809619666166
741,14,2.2428137468810285e-08,0.008138176332559458
741,15,5.860848521532311e-07,-0.39458332646074923
741,16,1.0394638532596064e-07,-0.07131352489719388
741,17,3.997712957354314e-07,-0.25645528936989526
741,18,1.2835151894571013e-06,-0.1463417132294208
741,19,8.390066347636401e-07,-0.07818295593564874
742,0,9.034166979838978e-07,-0.27391702831832415
742,1,5.807821584577968e-07,0.18748711134915502
742,2,-9.843096778553981e-07,0.27312994709773886
742,3,2.706091365486676e-07,0.17404364899105967
742,4,1.3257979299690223e-06,0.18116667596581798
742,5,1.6312368242043902e-06,0.08196255357766374
742,6,1.1085052522402942e-06,0.002081987301846228
742,7,1.3984782810315275e-06,0.05654926143510747
742,8,9.80981435936081e-07,0.19050090979763917
742,9,7.404872911098673e-07,-0.2082812132914429
742,10,7.041602215405985e-08,-0.0719552891842936
742,11,2.1759502016691367e-07,-0.03314546668445414
742,12,3.5273843550672476e-07,0.29056074352404193
742,13,1.1269377117169988e-06,0.21201400352342312
742,14,-1.0824301062441561e-06,0.4075048117791178
742,15,-1.4979056566120808e-07,0.12380745611147714
742,16,3.165852021949296e-07,0.23186041966607854
742,17,-4.0487273287248836e-07,-0.03237615216076657
742,18,6.376434031366016e-07,-0.06562971127040118
742,19,-1.4998073976312027e-06,0.14669602718662675
743,0,4.3639468942656385e-07,-0.6005008032421079
743,1,9.662516934713778e-07,-0.37830187892869893
743,2,-1.919997252275157e-06,-0.23324185667145939
743,3,-6.274375314483165e-07,0.0928143157978754
743,4,-6.579130961501573e-07,-0.05571541763843013
743,5,1.3903174687603437e-06,-0.09916597249661611
743,6,1.0995503949646516e-06,-0.5642744570912988
743,7,-3.4465240073949383e-07,-0.05514107360654738
743,8,-9.86658239554694e-07,-0.06672522404976225
743,9,3.1014829940362494e-07,-0.4474434995496679
743,10,-4.883954253558933e-07,-0.2218876883473679
743,11,-1.0875209001070459e-07,-0.15593761215392385
743,12,1.1059461156898736e-06,-0.10822042535029605
743,13,8.918780360664181e-08,0.023009942679410846
743,14,-1.4155336477218472e-06,0.013768769163930862
743,15,-1.3063343584246593e-06,-0.5979274558911306
743,16,-8.850028058378291e-07,-0.05152762805926232
743,17,-1.6100439637346047e-06,-0.20127743984868401
743,18,7.755843897460904e-07,-0.4974548012232929
743,19,-1.214118039206951e-06,-0.13733908697690098
744,0,1.4277539479278425e-07,-0.2253218273330583
744,1,3.8629350036382886e-07,-0.1331048747312339
744,2,-1.1501348142683564e-06,-0.09560049551671175
744,3,-6.137148326519123e-07,0.040790815638891274
744,4,1.3085816095906342e-07,-0.10070567511722472
744,5,1.243577963220557e-06,-0.13282412776708358
744,6,4.6890383618978675e-07,-0.2928203524573483
744,7,7.543796234745691e-07,-0.08076041666117983
744,8,4.282661643902019e-07,-0.013442565612537382
744,9,4.7588101594803387e-07,-0.17972343497781904
744,10,-5.247942959064626e-08,-0.04067227040370068
744,11,1.9247146238051845e-07,-0.002653230897090523
744,12,9.434526628040703e-07,-0.0692247822480736
744,13,4.3557455750446343e-07,-0.025927369362080212
744,14,-5.36470995132401e-07,0.088139977446176
744,15,-6.834306937689593e-07,-0.26672977282128385
744,16,-3.066522966438326e-07,-0.012107772658316064
744,17,-9.502881495727932e-07,-0.156697398515845
744,18,7.223549626759849e-07,-0.16607319073160037
744,19,-9.27334997686456e-07,-0.041392947223658466
745,0,1.425451671659003e-06,-0.2968342480447026
745,1,5.782941448063326e-07,0.12601156745752357
745,2,-9.070017474101457e-07,0.04804182144581099
745,3,7.560399944020807e-07,0.09392604293169823
745,4,1.149861691428167e-06,0.21372235631034847
745,5,1.0564100088199671e-06,0.02302117897976432
745,6,1.1261100622719532e-07,-0.00849854080198079
745,7,-2.132047616374774e-07,0.20150632118042044
745,8,1.3062498464986548e-07,0.05181289948188132
745,9,2.418875935786485e-07,-0.3113068065222235
745,10,6.829110703299441e-07,-0.33101683340808563
745,11,3.7140525032064616e-07,-0.02348581410841661
745,12,7.766152884038017e-07,0.22915783649153298
745,13,7.940665269782568e-09,0.3458561081616519
745,14,-8.049563370863239e-07,0.39002195014247903
745,15,7.201036790073457e-07,-0.14007983474383018
745,16,1.0437073601726343e-06,0.11200247183977093
745,17,-1.5522926651113584e-07,-0.04857567553809761
745,18,1.1697887015125246e-06,-0.21069338673913182
745,19,5.078983859570834e-07,0.3784165667755863
746,0,3.9326644675720203e-07,-0.11860460997913276
746,1,3.8743033385527406e-07,0.09850957540698774
746,2,-8.003324815476483e-07,0.09826811016335006
746,3,7.410795021151132e-08,0.14660518471749995
746,4,6.564849230106255e-07,0.052235396128437306
746,5,6.700028996521295e-07,0.0006468226042416834
746,6,9.949030786192062e-07,-0.1677706897983608
746,7,4.3494421698498565e-07,0.03151868550531057
746,8,9.290737651208863e-07,0.08974151629408622
746,9,6.921522561539609e-07,-0.22607792886032285
746,10,3.2851772223543104e-07,-0.035889371464170455
746,11,1.628537164752666e-07,-0.014519990427360832
746,12,3.092144330524289e-07,0.08168798899098739
746,13,-1.1202230613335122e-07,0.1112134683059905
746,14,-5.89862426594837e-07,0.23764430366375655
746,15,-4.0719246909760355e-07,-0.07778967331799061
746,16,1.2600996728095385e-07,0.09869414409766214
746,17,-1.0967197752311484e-06,-0.05508010598738096
746,18,2.252590344444629e-07,-0.12291487166459474
746,19,-9.508543967614458e-07,0.11648141546564923
747,0,1.0852471490173075e-06,-0.1658539634490533
747,1,9.180926718735126e-07,0.02662684944647593
747,2,-6.247978983687468e-07,0.24263330922640364
747,3,-2.781483570120502e-07,0.19152860011068024
747,4,8.654711798317084e-07,0.19738793575121924
747,5,1.9176878554318555e-06,0.17590580447470122
747,6,2.1880616431304013e-06,-0.15278391816951264
747,7,9.463081123847778e-08,0.1703159040541129
747,8,7.608012032403942e-07,0.14821073018973213
747,9,3.7921905025045385e-07,-0.3492621539218298
747,10,-5.897994284927243e-07,-0.16910349000812064
747,11,6.533606540831543e-07,-0.018705983079275477
747,12,1.7672852281873656e-06,0.21558926884559437
747,13,8.789665908846693e-07,0.22492143252646132
747,14,-1.280112560230615e-06,0.27540275166609024
747,15,-9.179100068144432e-07,-0.12911243429779
747,16,4.594324830894318e-07,0.19819696036427809
747,17,-7.440853627673556e-07,-0.021372720752571822
747,18,5.522776257433301e-07,-0.2791471029518371
747,19,-6.054391227077397e-07,0.243045427408348
748,0,2.3914470207438677e-07,-0.2924060829724968
748,1,6.103320757383471e-07,-0.18668872935717384
748,2,-1.7846455350546e-07,-0.17650131705563182
748,3,-4.514498897092077e-07,0.029886985899276765
748,4,1.5119944196958402e-07,-0.10898360004310564
748,5,1.527278826732069e-06,-0.20044753146994876
748,6,-1.9111996736283024e-07,-0.4901009829350992
748,7,-6.50203469783064e-07,-0.010414417085261782
748,8,-4.6766094682621244e-07,-0.1207384901614433
748,9,3.383616014889949e-07,-0.1914005934178264
748,10,-6.057133690498305e-07,-0.05629122717407841
748,11,2.2831841908503007e-07,-0.09618478405607725
748,12,9.308070081717054e-07,-0.11209895091254377
748,13,4.3158176157409663e-07,-0.05958037308216198
748,14,-2.636984642210196e-07,-0.01689746551300658
748,15,-7.100178032355545e-08,-0.3606708762724464
748,16,3.5231742896291686e-07,-0.06101799313022806
748,17,-3.8890158499908703e-07,-0.16066121238357284
748,18,8.551371210114294e-07,-0.2451115515901488
748,19,5.717411107050616e-07,-0.026016152627647386
749,0,2.771984093827814e-07,-0.4266818126897215
749,1,3.896183649366328e-07,-0.4271434284986675
749,2,-5.276086468099662e-07,-0.41221734482361916
749,3,-4.803288770309955e-07,-0.21022328845315053
749,4,4.948050299469023e-07,-0.2802767588323633
749,5,1.4835931044904198e-06,-0.3907547171189693
749,6,2.3896690947951164e-07,-0.6750382968010098
749,7,2.5187444503827994e-08,-0.24753085418082152
749,8,9.173565446307045e-08,-0.2891247089430372
749,9,-1.6659434973263518e-07,-0.33746803209422593
749,10,-6.418810005721536e-07,-0.1174807594625886
749,11,-7.180689030646142e-08,-0.1779883689854002
749,12,1.5305941462476838e-06,-0.2820264739642746
749,13,1.6686234833184259e-06,-0.3335374987639675
749,14,-3.0603157766168287e-07,-0.20009122840547905
749,15,3.495608648350968e-10,-0.49905664248612347
749,16,-4.550330224064687e-07,-0.2180951323338748
749,17,-1.877075618513122e-07,-0.341244140417455
749,18,5.241464470384711e-07,-0.18112707343070722
749,19,7.046541730764281e-08,-0.34259733730382286
750,0,-2.4103471720019724e-07,-0.2387432911566758
750,1,2.6966679817627633e-07,-0.17759624378102118
750,2,-1.5200037651138449e-06,-0.19963078272466248
750,3,-7.656574728772785e-07,0.0759674895019985
750,4,-2.7470147181190663e-07,-0.02269529468750525
750,5,7.741057920983986e-07,-0.08220741882590415
750,6,5.63814017307209e-07,-0.4100364349879252
750,7,3.157307213523596e-07,-0.10140623516755533
750,8,-4.4335985131785473e-07,-0.04491852650405588
750,9,-2.673047353823678e-08,-0.22993382656932615
750,10,-4.5463109692732065e-07,-0.10372420270731175
750,11,-4.94772135031113e-07,-0.05245918104909808
750,12,9.461301828714096e-07,-0.061969214018056204
750,13,4.091465856132702e-07,-0.01802161768101535
750,14,-8.779178809978184e-07,0.10689780450722142
750,15,-1.2955372559188627e-06,-0.2943181311450168
750,16,-7.068530072530908e-07,-0.003988715138538925
750,17,-9.9378005622911e-07,-0.186854678604009
750,18,-4.841345707740375e-07,-0.1825370510723599
750,19,-1.454986237866095e-06,-0.05049016144274546
751,0,5.22724857604309e-07,-0.5893867151519783
751,1,7.029536177387283e-07,-0.7196387338847315
751,2,1.2789309541601506e-07,-0.5443401232256915
751,3,-8.521142412312245e-07,-0.2841953741329952
751,4,-2.37002646330776e-07,-0.3471960713606116
751,5,2.1734747650913757e-06,-0.42301635791895753
751,6,1.1455749401224317e-06,-0.8901251100286768
751,7,-3.364882055292603e-07,-0.2943642029814971
751,8,-5.560771443259544e-07,-0.33173599940284704
751,9,-2.4884896369596097e-08,-0.3331153523657167
751,10,-1.4007095512677497e-06,-0.26074706153307153
751,11,1.3196622900390515e-07,-0.10164337178658836
751,12,2.509149066553298e-06,-0.3614072995473252
751,13,1.5360603008286203e-06,-0.3447506578340457
751,14,-2.3238953107355554e-07,-0.2986853495054532
751,15,-7.408824259847215e-07,-0.8910395716709594
751,16,-1.3805160491659094e-06,-0.2287987270359772
751,17,-1.798652435221443e-07,-0.4603580523226486
751,18,8.865093918216455e-07,-0.46100680927689275
751,19,6.565302330316557e-07,-0.3558523331898069
752,0,-1.4366520164932918e-07,-0.45720779360218977
752,1,9.920592974545743e-08,-0.4813730810988759
752,2,-1.0872879070686923e-06,-0.5788805471222885
752,3,-1.12688704318324e-06,-0.11653503988253604
752,4,-1.1958487204895264e-06,-0.2751192926842605
752,5,9.57455625692973e-07,-0.42221685985266516
752,6,-4.6123929218903297e-07,-0.7252684966302365
752,7,-5.629481873281981e-07,-0.35008498275482813
752,8,-1.12035790151019e-06,-0.3075021808978354
752,9,3.27549414845052e-07,-0.3687483598726381
752,10,-7.92099319132338e-07,-0.21526820738863883
752,11,-5.126501568904598e-07,-0.13873419785488206
