t,T,P,edge,bal,ela,area
98.0,1.511358595938165,5.0,11550.0,-3059820.483854116,1095.9835117366583,19252659.96130597
99.0,1.1077484627724248,5.0,11550.0,1984029.2535869908,1032.8720571184726,19252659.96130597
100.0,0.5452897122902138,5.0,11500.0,9114968.702327562,943.0374564526662,19222659.96130597
101.0,2.3953146123427738,5.0,11500.0,-14004435.304567043,1225.85671341649,19222659.96130597
102.0,2.1741772137837794,5.0,11500.0,-11245241.538060576,1192.2672835047085,19222659.96130597
103.0,0.9572057642445833,5.0,11500.0,3951889.472512249,1005.2506064725118,19222659.96130597
104.0,1.2931052904913,5.0,11500.0,-255191.30928279087,1053.9032610654049,19222659.96130597
105.0,2.05166202652732,5.0,11500.0,-9741951.92853907,1173.5626923833915,19222659.96130597
106.0,2.2625676723156163,5.0,11450.0,-12254196.98825225,1205.1132268331587,19192659.96130597
107.0,1.113979814339122,5.0,11450.0,2061678.6475466387,1031.4328271968368,19192659.96130597
108.0,2.1146737571754874,5.0,11450.0,-10436765.0867699,1183.5803065875702,19192659.96130597
109.0,2.5187878470076503,5.0,11450.0,-15493362.928538987,1245.3349201181152,19192659.96130597
110.0,0.27655291859611264,5.0,11400.0,12553595.481539978,900.1530451231507,19162659.96130597
111.0,0.6446780828371255,5.0,11400.0,7949956.584965406,958.6842465735737,19162659.96130597
112.0,0.8771462093849864,5.0,11400.0,5041519.093439499,995.7420438163083,19162659.96130597
113.0,2.113202551589395,5.0,11400.0,-10362662.231195215,1183.859108783292,19162659.96130597
114.0,3.4091455622265423,5.0,11400.0,-26511959.859765187,1388.4108921164209,19162659.96130597
115.0,1.6654404493333432,5.0,11350.0,-4685918.215828113,1114.45293687597,19132659.96130597
116.0,1.7161991906996699,5.0,11350.0,-5336164.053174214,1126.9473095590736,19132659.96130597
117.0,3.0863493070826573,5.0,11350.0,-22396014.335131016,1329.1254025468718,19132659.96130597
118.0,2.060167960514179,5.0,11350.0,-9658333.154488938,1173.487909622998,19132659.96130597
119.0,1.0151536852952345,5.0,11350.0,3308926.3862033375,1006.5639188354088,19132659.96130597
120.0,0.7822680915749531,5.0,11300.0,6279870.601420411,973.7873559736561,19102659.96130597
121.0,1.4258622613191863,5.0,11300.0,-1735821.731787337,1081.419021654695,19102659.96130597
